Gmt time,Ask,Bid,AskVolume,BidVolume
13.08.2021 19:44:21.535,109.575,109.57000000000001,2.06,1.5
13.08.2021 19:44:21.636,109.573,109.57000000000001,1,1.25
13.08.2021 19:44:21.738,109.575,109.572,3,1.5
13.08.2021 19:44:21.839,109.57700000000001,109.572,1.01,1
13.08.2021 19:44:49.573,109.57700000000001,109.573,2.51,1
13.08.2021 19:44:52.323,109.574,109.572,1,1
13.08.2021 19:44:52.374,109.573,109.57000000000001,1,2.06
13.08.2021 19:44:52.628,109.573,109.569,1.5,4.01
13.08.2021 19:44:52.884,109.572,109.569,1,3.45
13.08.2021 19:45:21.070,109.57100000000001,109.569,1,1.69
13.08.2021 19:45:23.330,109.57100000000001,109.568,1,3.26
13.08.2021 19:45:24.118,109.57100000000001,109.568,1,2.69
13.08.2021 19:45:24.220,109.57100000000001,109.568,1,1
13.08.2021 19:45:24.906,109.57100000000001,109.56700000000001,1.5,3.07
13.08.2021 19:45:28.663,109.57000000000001,109.56700000000001,1,3.07
13.08.2021 19:45:57.796,109.564,109.55799999999999,3.06,1.5
13.08.2021 19:45:58.051,109.561,109.55600000000001,1,1.57
13.08.2021 19:45:58.153,109.559,109.55600000000001,1.5,1.95
13.08.2021 19:46:10.538,109.56,109.55700000000002,1.5,1
13.08.2021 19:46:19.156,109.56,109.55799999999999,1,1
13.08.2021 19:46:24.218,109.56200000000001,109.56,1.5,1
13.08.2021 19:46:24.319,109.56299999999999,109.561,1.25,1
13.08.2021 19:46:24.521,109.564,109.559,1.39,1
13.08.2021 19:46:25.318,109.561,109.55799999999999,1,1.87
13.08.2021 19:46:27.937,109.56200000000001,109.561,1,1
13.08.2021 19:46:28.038,109.56299999999999,109.561,1,1.5
13.08.2021 19:46:31.933,109.564,109.561,1.39,1.5
13.08.2021 19:46:33.616,109.566,109.561,3.29,1
13.08.2021 19:46:35.633,109.56299999999999,109.561,1,1
13.08.2021 19:46:49.423,109.56299999999999,109.559,2.14,1.5
13.08.2021 19:46:49.474,109.564,109.56,1.2,1
13.08.2021 19:46:49.584,109.564,109.561,2.14,1.5
13.08.2021 19:46:49.735,109.56299999999999,109.561,1,1
13.08.2021 19:46:51.179,109.564,109.561,1.2,1.5
13.08.2021 19:46:53.710,109.564,109.561,1.22,1.5
13.08.2021 19:47:07.002,109.564,109.561,1.39,1.5
13.08.2021 19:47:11.745,109.564,109.56,2.2,1.5
13.08.2021 19:47:11.796,109.561,109.55799999999999,1,1.5
13.08.2021 19:47:11.948,109.56200000000001,109.56,1.39,1
